condition,subject,trial,frame,time,tree,ptally,event,p_ign_apple,p_ign_banana,inter_click_interval
hi10lo70,1,1,166,3.9069950000266545,224,6,consume high value,0.6153846153846154,0.2,NA
hi10lo70,1,1,264,6.160809999972116,248,7,consume low value,0.6153846153846154,0.2,2.2538149999454618
hi10lo70,1,1,331,7.765654999995604,249,8,consume low value,0.6153846153846154,0.2,1.604845000023488
hi10lo70,1,1,355,8.327055000001565,226,8,sustained click in barren tree,0.6153846153846154,0.2,0.5614000000059605
hi10lo70,1,1,385,9.057480000017677,177,8,sustained click in low value,0.6153846153846154,0.2,0.7304250000161119
hi10lo70,1,1,422,9.90238500002306,154,8,sustained click in barren tree,0.6153846153846154,0.2,0.844905000005383
hi10lo70,1,1,551,12.919515000015963,155,14,consume high value,0.6153846153846154,0.2,3.0171299999929033
hi10lo70,1,1,583,13.684695000003558,11,14,sustained click in barren tree,0.6153846153846154,0.2,0.7651799999875948
hi10lo70,1,1,610,14.325104999996256,14,14,sustained click in barren tree,0.6153846153846154,0.2,0.6404099999926984
hi10lo70,1,1,647,15.175355000013951,18,14,sustained click in barren tree,0.6153846153846154,0.2,0.8502500000176951
hi10lo70,1,1,658,15.447939999983646,39,14,sustained click in barren tree,0.6153846153846154,0.2,0.27258499996969476
hi10lo70,1,1,674,15.826954999996815,40,14,sustained click in barren tree,0.6153846153846154,0.2,0.3790150000131689
hi10lo70,1,1,687,16.152189999993425,65,14,sustained click in barren tree,0.6153846153846154,0.2,0.32523499999661
hi10lo70,1,1,716,16.80021499999566,136,14,sustained click in barren tree,0.6153846153846154,0.2,0.6480250000022352
hi10lo70,1,1,730,17.14820499997586,112,14,sustained click in barren tree,0.6153846153846154,0.2,0.3479899999802001
hi10lo70,1,1,742,17.46582500002114,159,14,sustained click in barren tree,0.6153846153846154,0.2,0.3176200000452809
hi10lo70,1,1,766,18.008800000010524,348,14,sustained click in low value,0.6153846153846154,0.2,0.5429749999893829
hi10lo70,1,1,784,18.433279999997467,349,14,sustained click in low value,0.6153846153846154,0.2,0.42447999998694286
hi10lo70,1,1,836,19.673145000007935,348,15,consume low value,0.6153846153846154,0.2,1.239865000010468
hi10lo70,1,1,907,21.323325000004843,349,16,consume low value,0.6153846153846154,0.2,1.650179999996908
hi10lo70,1,1,997,23.39994500001194,397,17,consume low value,0.6153846153846154,0.2,2.0766200000070967
hi10lo70,1,1,1062,24.9613450000179,421,18,consume low value,0.6153846153846154,0.2,1.5614000000059605
hi10lo70,1,1,1130,26.544004999974277,445,19,consume low value,0.6153846153846154,0.2,1.5826599999563769
hi10lo70,1,1,1196,28.08218999998644,446,20,consume low value,0.6153846153846154,0.2,1.538185000012163
hi10lo70,1,1,1221,28.667475000023842,447,20,sustained click in barren tree,0.6153846153846154,0.2,0.5852850000374019
hi10lo70,1,1,1249,29.33431499998551,423,20,sustained click in barren tree,0.6153846153846154,0.2,0.6668399999616668
hi10lo70,1,1,1261,29.645409999997355,399,20,sustained click in high value,0.6153846153846154,0.2,0.3110950000118464
hi10lo70,1,1,1270,29.892519999993965,400,20,sustained click in barren tree,0.6153846153846154,0.2,0.24710999999660999
hi10lo70,1,1,1287,30.289555000024848,399,20,sustained click in high value,0.6153846153846154,0.2,0.39703500003088266
hi10lo70,1,1,1351,31.833894999988843,423,20,sustained click in barren tree,0.6153846153846154,0.2,1.544339999963995
hi10lo70,1,1,1475,34.69334499997785,399,26,consume high value,0.6153846153846154,0.2,2.8594499999890104
