condition,condition_labs,subject,trial,score,ignap,ignba,icint
10 bananas 70 apples,hi10lo70,1,1,34,0.6153846153846154,0.2,0.7322168055551528
10 bananas 70 apples,hi10lo70,1,2,36,0.5714285714285714,0,0.7492324025974936
10 bananas 70 apples,hi10lo70,1,3,29,0.45161290322580644,0,0.7657158904109304
10 bananas 70 apples,hi10lo70,1,4,29,0.22727272727272727,0,0.8706582539681611
10 bananas 70 apples,hi10lo70,1,5,26,0.8095238095238095,0.25,0.4957611160711427
10 bananas 70 apples,hi10lo70,1,6,35,0,0,1.2521954444444015
10 bananas 70 apples,hi10lo70,1,7,36,0.14285714285714285,0,0.9499973770494374
10 bananas 70 apples,hi10lo70,1,8,31,0.09523809523809523,0,0.9494852542372073
10 bananas 70 apples,hi10lo70,1,9,26,0.23076923076923078,0,0.9430259016397806
10 bananas 70 apples,hi10lo70,1,10,42,0.25,0,1.1355171000002884
10 bananas 70 apples,hi10lo70,1,11,34,0.15789473684210525,0,1.2775616279064115
10 bananas 70 apples,hi10lo70,1,12,37,0,0,1.391541829267403
10 bananas 70 apples,hi10lo70,1,13,36,0.05263157894736842,0,1.08368913461499
10 bananas 70 apples,hi10lo70,1,14,31,0.9772727272727273,0,0.5371520370368941
10 bananas 70 apples,hi10lo70,1,15,42,1,0.125,0.5212730092591502
10 bananas 70 apples,hi10lo70,1,16,43,0.9736842105263158,0,0.5620156499999576
10 bananas 70 apples,hi10lo70,1,17,38,0.9523809523809523,0.14285714285714285,0.5209881081083277
10 bananas 70 apples,hi10lo70,1,18,32,0.9512195121951219,0.2857142857142857,0.5493589999996835
10 bananas 70 apples,hi10lo70,1,19,37,0.972972972972973,0,0.5493547549019294
10 bananas 70 apples,hi10lo70,1,20,38,0.9444444444444444,0,0.6195982608699958
10 bananas 70 apples,hi10lo70,2,1,28,0,0,1.0221385454546015
10 bananas 70 apples,hi10lo70,2,2,32,0.9583333333333334,0,0.5666990686274623
10 bananas 70 apples,hi10lo70,2,3,46,0,0,1.6197495588236497
10 bananas 70 apples,hi10lo70,2,4,35,0,0,1.273772738095258
10 bananas 70 apples,hi10lo70,2,5,38,0,0,1.19535659574467
10 bananas 70 apples,hi10lo70,2,6,26,0,0,1.042781545454504
10 bananas 70 apples,hi10lo70,2,7,40,0.058823529411764705,0,1.0355650943396142
10 bananas 70 apples,hi10lo70,2,8,38,0,0,1.1915573958334182
10 bananas 70 apples,hi10lo70,2,9,45,0,0,1.0940260377358064
10 bananas 70 apples,hi10lo70,2,10,39,0,0,1.073827264150923
10 bananas 70 apples,hi10lo70,2,11,27,0.045454545454545456,0,1.1116944117646725
10 bananas 70 apples,hi10lo70,2,12,31,0,0,1.1041844318181353
10 bananas 70 apples,hi10lo70,2,13,37,0,0,0.9983852678572366
10 bananas 70 apples,hi10lo70,2,14,22,0,NA,1.2979666666666163
10 bananas 70 apples,hi10lo70,2,15,44,0,0,1.1901352040817705
10 bananas 70 apples,hi10lo70,2,16,37,0,0,1.134165800000046
10 bananas 70 apples,hi10lo70,2,17,39,0,0,1.180556122448957
10 bananas 70 apples,hi10lo70,2,18,35,0,0,1.070386666666713
10 bananas 70 apples,hi10lo70,2,19,38,0.047619047619047616,0,1.0884791509434197
10 bananas 70 apples,hi10lo70,2,20,46,0.8947368421052632,0,0.6051854787234489
40 bananas 40 apples,hi40lo40,3,1,58,0.2,0.18181818181818182,2.042571428571428
40 bananas 40 apples,hi40lo40,3,2,44,0,0.14285714285714285,1.8441666666666672
40 bananas 40 apples,hi40lo40,3,3,52,0.3333333333333333,0,2.7344999999999997
40 bananas 40 apples,hi40lo40,3,4,44,0,0.125,1.8246071428571429
40 bananas 40 apples,hi40lo40,3,5,42,0.25,0,2.025961538461539
40 bananas 40 apples,hi40lo40,3,6,36,0.14285714285714285,0,1.9460740740740734
40 bananas 40 apples,hi40lo40,3,7,33,0,0,2.328666666666668
40 bananas 40 apples,hi40lo40,3,8,23,0,0,2.6503809523809476
40 bananas 40 apples,hi40lo40,3,9,36,0,0,2.899000000000001
40 bananas 40 apples,hi40lo40,3,10,35,0.16666666666666666,0,2.6954499999999997
40 bananas 40 apples,hi40lo40,3,11,23,0,0,3.6229230769230734
40 bananas 40 apples,hi40lo40,3,12,34,0,0,2.9295263157894706
40 bananas 40 apples,hi40lo40,3,13,22,0,0,3.3586000000000014
40 bananas 40 apples,hi40lo40,3,14,18,0,0,3.289599999999988
40 bananas 40 apples,hi40lo40,3,15,14,0.3333333333333333,0.5,2.8346111111111063
40 bananas 40 apples,hi40lo40,3,16,16,0,0,3.7198461538461496
40 bananas 40 apples,hi40lo40,3,17,9,0,0.5,4.7133636363636136
40 bananas 40 apples,hi40lo40,3,18,21,0,0,4.648124999999993
40 bananas 40 apples,hi40lo40,3,19,16,0.3333333333333333,0.5,3.3530000000000046
40 bananas 40 apples,hi40lo40,3,20,16,0,0,4.909666666666681
40 bananas 40 apples,hi40lo40,4,1,64,0.5,0,1.6346666666666672
40 bananas 40 apples,hi40lo40,4,2,65,0.2857142857142857,0,1.6070882352941174
40 bananas 40 apples,hi40lo40,4,3,69,0.5,0,1.7194516129032276
40 bananas 40 apples,hi40lo40,4,4,57,0.75,0.1,1.4248157894736835
40 bananas 40 apples,hi40lo40,4,5,56,0.8,0,1.116632653061224
40 bananas 40 apples,hi40lo40,4,6,52,0.6923076923076923,0,1.4007179487179469
40 bananas 40 apples,hi40lo40,4,7,49,0.36363636363636365,0,1.1306734693877556
40 bananas 40 apples,hi40lo40,4,8,55,0.9,0.25,1.2669523809523806
40 bananas 40 apples,hi40lo40,4,9,61,0.8571428571428571,0,1.227652173913043
40 bananas 40 apples,hi40lo40,4,10,60,1,0,1.4216388888888913
40 bananas 40 apples,hi40lo40,4,11,60,1,0.09090909090909091,1.1520204081632621
40 bananas 40 apples,hi40lo40,4,12,54,1,0,1.2526363636363684
40 bananas 40 apples,hi40lo40,4,13,49,0.8888888888888888,0,1.1610212765957444
40 bananas 40 apples,hi40lo40,4,14,55,0.9090909090909091,0.1,1.2071063829787219
40 bananas 40 apples,hi40lo40,4,15,54,1,0,1.1466666666666658
40 bananas 40 apples,hi40lo40,4,16,66,1,0,1.5422857142857147
40 bananas 40 apples,hi40lo40,4,17,54,1,0,1.2767209302325608
40 bananas 40 apples,hi40lo40,4,18,48,1,0,1.2734761904761929
40 bananas 40 apples,hi40lo40,4,19,42,1,0,1.304047619047624
40 bananas 40 apples,hi40lo40,4,20,60,1,0,1.350615384615384
40 bananas 40 apples,hi40lo40,5,1,43,0,0.14285714285714285,1.7147459090884887
40 bananas 40 apples,hi40lo40,5,2,47,0,0,1.8431196551737856
40 bananas 40 apples,hi40lo40,5,3,48,0,0,1.725864310347443
40 bananas 40 apples,hi40lo40,5,4,41,0,0,1.5383813235333519
40 bananas 40 apples,hi40lo40,5,5,50,0,0,1.2565886046531676
40 bananas 40 apples,hi40lo40,5,6,47,0,0,1.1815219791654574
40 bananas 40 apples,hi40lo40,5,7,48,0,0,1.441224230769783
40 bananas 40 apples,hi40lo40,5,8,55,0,0,1.3117204651149899
40 bananas 40 apples,hi40lo40,5,9,50,0.8333333333333334,0,1.2044683695649323
40 bananas 40 apples,hi40lo40,5,10,50,0.6666666666666666,0,1.4514235897431484
40 bananas 40 apples,hi40lo40,5,11,33,0.1,0,2.681600238096767
40 bananas 40 apples,hi40lo40,5,12,43,0,0,1.773259193546349
40 bananas 40 apples,hi40lo40,5,13,35,0,0,2.0747079629606255
40 bananas 40 apples,hi40lo40,5,14,49,0.125,0,1.3445906097569116
40 bananas 40 apples,hi40lo40,5,15,46,0.5555555555555556,0,1.309981547623119
40 bananas 40 apples,hi40lo40,5,16,38,0.3333333333333333,0,1.5889554285710412
